Symbol,Date,Open,High,Low,Close,Volume,Adj Close
JNJ,2016-04-28,112.099998,112.709999,111.639999,112.480003,6573800,112.480003
JNJ,2016-04-27,112.959999,113.199997,112.459999,112.769997,5573200,112.769997
JNJ,2016-04-26,113.449997,113.559998,112.650002,112.910004,5834300,112.910004
JNJ,2016-04-25,113.309998,113.550003,112.480003,113.510002,6104900,113.510002
JNJ,2016-04-22,113.43,113.75,112.830002,113.32,7489400,113.32
JNJ,2016-04-21,113.309998,113.730003,112.769997,113.57,7873300,113.57
JNJ,2016-04-20,113.190002,114.190002,113.050003,113.580002,8138700,113.580002
JNJ,2016-04-19,111.650002,113.949997,111.480003,112.68,10293800,112.68
JNJ,2016-04-18,110.00,111.099998,109.669998,110.93,7727200,110.93
JNJ,2016-04-15,110.07,110.400002,109.50,110.18,10034500,110.18
JNJ,2016-04-14,110.00,110.290001,109.449997,109.839996,4425800,109.839996
JNJ,2016-04-13,110.00,110.349998,109.309998,109.870003,5729900,109.870003
JNJ,2016-04-12,109.00,110.239998,108.75,109.599998,8346500,109.599998
JNJ,2016-04-11,109.150002,109.620003,108.650002,108.970001,6803200,108.970001
JNJ,2016-04-08,109.370003,109.639999,108.760002,109.099998,6178700,109.099998
JNJ,2016-04-07,109.00,109.620003,108.629997,109.269997,7795100,109.269997
JNJ,2016-04-06,108.720001,109.50,107.879997,109.419998,6777900,109.419998
JNJ,2016-04-05,108.230003,109.839996,108.010002,108.949997,7901800,108.949997
JNJ,2016-04-04,108.82,109.099998,108.260002,108.589996,10667900,108.589996
JNJ,2016-04-01,108.00,109.290001,107.690002,109.190002,9006400,109.190002
JNJ,2016-03-31,108.860001,108.980003,108.040001,108.199997,7916000,108.199997
JNJ,2016-03-30,109.449997,109.559998,108.93,108.980003,5179900,108.980003
JNJ,2016-03-29,108.300003,109.25,107.739998,109.139999,6526700,109.139999
JNJ,2016-03-28,108.410004,108.900002,108.059998,108.230003,4635100,108.230003
JNJ,2016-03-24,108.220001,108.610001,107.75,108.309998,6282800,108.309998
JNJ,2016-03-23,107.290001,108.830002,107.199997,108.50,8088800,108.50
JNJ,2016-03-22,107.279999,107.629997,107.050003,107.379997,7790800,107.379997
JNJ,2016-03-21,107.410004,107.75,106.550003,107.279999,7503500,107.279999
JNJ,2016-03-18,106.989998,107.839996,106.360001,107.50,14492200,107.50
JNJ,2016-03-17,107.470001,107.599998,106.449997,106.739998,8420200,106.739998
